# pid_algorithm_sim v1
# alg: step2
# set_pid: 2000 25 350000
# noise: 33, tau_max: 0.4, inertia: 5.4e-06, coulomb: 0.022, static: 0.13, viscous: 0.0009, load: 0, seed: 1
t_s,error,p_term,i_term,d_term,output,desired,actual,voltage
0.041472,-44,-88000,-14475,-535913,-312,0,44,2
0.041728,9,18000,-15575,98433,49,0,-9,0
0.041984,-38,-76000,-20325,-349984,-218,0,38,1
0.042240,-24,-48000,-20600,-229677,-146,0,24,1
0.042496,-25,-50000,-21375,-229677,-147,0,25,1
0.042752,57,114000,-17775,623409,351,0,-57,1
0.043008,49,98000,-12625,470291,271,0,-49,1
0.043264,12,24000,-8850,21874,18,0,-12,0
0.043520,-3,-6000,-10450,-87496,-51,0,3,1
0.043776,-51,-102000,-7275,-667157,-379,0,51,2
0.044032,-13,-26000,-8975,-185929,-108,0,13,1
0.044288,-21,-42000,-10450,-240614,-143,0,21,1
0.044544,-38,-76000,-14050,-382795,-231,0,38,1
0.044800,3,6000,-12875,65622,29,0,-3,0
0.045056,12,24000,-13175,174992,91,0,-12,0
0.045312,-26,-52000,-13050,-251551,-155,0,26,1
0.045568,17,34000,-11300,174992,97,0,-17,0
0.045824,4,8000,-9675,0,-1,0,-4,1
0.046080,3,6000,-11100,10937,3,0,-3,0
0.046336,-18,-36000,-11950,-196866,-120,0,18,1
0.046592,-22,-44000,-14850,-196866,-125,0,22,1
0.046848,48,96000,-12525,546850,308,0,-48,1
0.047104,-12,-24000,-13225,-120307,-77,0,12,1
0.047360,4,8000,-13275,43748,19,0,-4,0
0.047616,-6,-12000,-14900,-43748,-34,0,6,1
0.047872,23,46000,-13800,284362,155,0,-23,0
0.048128,-28,-56000,-14700,-306236,-184,0,28,1
0.048384,-25,-50000,-15200,-251551,-155,0,25,1
0.048640,-3,-6000,-16700,10937,-6,0,3,1
0.048896,-12,-24000,-19175,-76559,-58,0,12,1
0.049152,-48,-96000,-19925,-492165,-297,0,48,2
0.049408,-25,-50000,-18625,-262488,-162,0,25,1
0.049664,-41,-82000,-18850,-437480,-263,0,41,2
0.049920,11,22000,-14475,87496,46,0,-11,0
0.050176,-17,-34000,-14450,-218740,-130,0,17,1
0.050432,-31,-62000,-16150,-317173,-193,0,31,1
0.050688,-29,-58000,-18800,-262488,-166,0,29,1
0.050944,-62,-124000,-22450,-579661,-355,0,62,2
0.051200,56,112000,-21875,721842,396,0,-56,1
0.051456,39,78000,-24075,546850,293,0,-39,1
0.051712,-33,-66000,-24750,-295299,-189,0,33,1
0.051968,30,60000,-21675,349984,190,0,-30,0
0.052224,-23,-46000,-23925,-218740,-141,0,23,1
0.052480,11,22000,-27175,229677,110,0,-11,0
0.052736,24,48000,-26550,317173,165,0,-24,0
0.052992,-12,-24000,-27475,-98433,-73,0,12,1
0.053248,7,14000,-29075,164055,73,0,-7,0
0.053504,16,32000,-24800,174992,89,0,-16,0
0.053760,46,92000,-23625,503102,279,0,-46,1
0.054016,-13,-26000,-25450,-142181,-95,0,13,1
0.054272,9,18000,-26100,120307,55,0,-9,0
0.054528,-10,-20000,-28600,-98433,-72,0,10,1
0.054784,-23,-46000,-30525,-196866,-133,0,23,1
0.055040,2,4000,-30650,76559,24,0,-2,0
0.055296,21,42000,-32900,317173,159,0,-21,0
0.055552,-33,-66000,-32050,-328110,-208,0,33,1
0.055808,56,112000,-32775,699968,380,0,-56,1
0.056064,8,16000,-29900,76559,31,0,-8,0
0.056320,47,94000,-24325,437480,248,0,-47,0
0.056576,-45,-90000,-25675,-579661,-340,0,45,2
0.056832,46,92000,-27275,514039,283,0,-46,1
0.057088,23,46000,-27875,251551,132,0,-23,0
0.057344,48,96000,-27650,535913,295,0,-48,1
0.057600,-37,-74000,-28150,-426543,-258,0,37,2
0.057856,-43,-86000,-30250,-459354,-281,0,43,2
