# pid_algorithm_sim v1
# alg: old
# set_pid: 2000 25 175000
# noise: 33, tau_max: 0.4, inertia: 5.4e-06, coulomb: 0.022, static: 0.13, viscous: 0.0009, load: 0, seed: 4
# move_sent_at_s: 1.000000
t_s,error,p_term,i_term,d_term,output,desired,actual,voltage
0.018176,-21,-42000,-10500,-180444,-114,0,21,1
0.018304,-20,-40000,-10250,-180444,-113,0,20,1
0.018432,-45,-90000,-13125,-300740,-198,0,45,1
0.018560,6,12000,-14050,-10936,-7,0,-6,1
0.018688,-17,-34000,-14075,-142168,-93,0,17,1
0.018816,-62,-124000,-15500,-393696,-261,0,62,2
0.018944,-55,-110000,-14550,-366356,-240,0,55,1
0.019072,3,6000,-16100,-32808,-21,0,-3,1
0.019200,-3,-6000,-16900,-65616,-44,0,3,1
0.019328,-8,-16000,-15800,-103892,-67,0,8,1
0.019456,40,80000,-13375,147636,104,0,-40,0
0.019584,-28,-56000,-15175,-224188,-145,0,28,1
0.019712,18,36000,-16375,43744,30,0,-18,0
0.019840,-30,-60000,-14400,-246060,-157,0,30,1
0.019968,-15,-30000,-16475,-147636,-95,0,15,1
0.020096,25,50000,-14275,54680,44,0,-25,0
0.020224,-35,-70000,-16500,-267932,-174,0,35,1
0.020352,-45,-90000,-17025,-322612,-210,0,45,1
0.020480,5,10000,-15350,-54680,-30,0,-5,1
0.020608,-14,-28000,-15675,-158572,-99,0,14,1
0.020736,10,20000,-16075,-21872,-9,0,-10,1
0.020864,-23,-46000,-14100,-218720,-137,0,23,1
0.020992,-13,-26000,-13525,-164040,-100,0,13,1
0.021120,4,8000,-13650,-71084,-38,0,-4,1
0.021248,-16,-32000,-14100,-180444,-111,0,16,1
0.021376,-14,-28000,-14750,-164040,-101,0,14,1
0.021504,-35,-70000,-17100,-273400,-177,0,35,1
0.021632,-6,-12000,-16450,-114828,-70,0,6,1
0.021760,26,52000,-15725,54680,44,0,-26,0
0.021888,-11,-22000,-16200,-153104,-94,0,11,1
0.022016,-12,-24000,-15825,-158572,-97,0,12,1
0.022144,16,32000,-12500,-21872,-2,0,-16,1
0.022272,-10,-20000,-12900,-158572,-94,0,10,1
0.022400,-24,-48000,-14050,-235124,-146,0,24,1
0.022528,-23,-46000,-15950,-218720,-138,0,23,1
0.022656,4,8000,-16000,-60148,-34,0,-4,1
0.022784,-19,-38000,-17525,-180444,-116,0,19,1
0.022912,-35,-70000,-18725,-262464,-172,0,35,1
0.023040,-8,-16000,-21075,-98424,-67,0,8,1
0.023168,21,42000,-19925,54680,37,0,-21,0
0.023296,-4,-8000,-18525,-98424,-62,0,4,1
0.023424,1,2000,-17025,-82020,-48,0,-1,1
0.023552,-14,-28000,-17875,-158572,-100,0,14,1
0.023680,6,12000,-18500,-38276,-22,0,-6,1
0.023808,16,32000,-18050,16404,14,0,-16,0
0.023936,9,18000,-21050,-5468,-5,0,-9,1
0.024064,33,66000,-18525,109360,76,0,-33,0
0.024192,-22,-44000,-18975,-196848,-127,0,22,1
0.024320,25,50000,-20200,76552,51,0,-25,0
0.024448,-9,-18000,-22075,-103892,-71,0,9,1
0.024576,-5,-10000,-20775,-92956,-61,0,5,1
0.024704,-12,-24000,-22300,-125764,-85,0,12,1
0.024832,32,64000,-20575,103892,71,0,-32,0
0.024960,7,14000,-18075,-60148,-32,0,-7,1
0.025088,72,144000,-15425,295272,206,0,-72,0
0.025216,44,88000,-13950,131232,100,0,-44,0
0.025344,49,98000,-11575,147636,114,0,-49,0
0.025472,-19,-38000,-12775,-218720,-132,0,19,1
0.025600,26,52000,-13325,43744,40,0,-26,0
0.025728,52,104000,-11000,180444,133,0,-52,0
0.025856,42,84000,-8250,103892,87,0,-42,0
0.025984,1,2000,-6075,-136700,-69,0,-1,1
0.026112,-39,-78000,-7075,-344484,-210,0,39,1
0.026240,-26,-52000,-6600,-273400,-163,0,26,1
0.026368,-55,-110000,-7025,-431972,-269,0,55,2
0.026496,27,54000,-6400,32808,39,0,-27,0
0.026624,55,110000,-3875,180444,139,0,-55,0
0.026752,45,90000,-2575,120296,101,0,-45,0
0.026880,14,28000,-2875,-43744,-10,0,-14,1
0.027008,101,202000,950,426504,307,0,-101,1
0.027136,14,28000,1225,-65616,-18,0,-14,1
0.027264,-53,-106000,2600,-442908,-267,0,53,2
0.027392,1,2000,5875,-153104,-71,0,-1,1
0.027520,4,8000,5975,-131232,-58,0,-4,1
0.027648,-21,-42000,4525,-256996,-144,0,21,1
0.027776,6,12000,4300,-98424,-41,0,-6,1
0.027904,-67,-134000,4125,-503056,-310,0,67,2
0.028032,-48,-96000,4375,-399164,-240,0,48,1
0.028160,-38,-76000,4650,-339016,-201,0,38,1
0.028288,-16,-32000,3725,-207784,-116,0,16,1
0.028416,-26,-52000,1050,-235124,-140,0,26,1
0.028544,0,0,-525,-76552,-38,0,0,1
0.028672,49,98000,525,191380,141,0,-49,0
0.028800,1,2000,-1175,-71084,-35,0,-1,1
0.028928,-49,-98000,-475,-355420,-222,0,49,1
0.029056,-48,-96000,-3350,-328080,-209,0,48,1
0.029184,-31,-62000,-5950,-224188,-143,0,31,1
0.029312,-39,-78000,-6400,-267932,-173,0,39,1
0.029440,-1,-2000,-5325,-65616,-36,0,1,1
0.029568,45,90000,-5400,191380,134,0,-45,0
0.029696,21,42000,-6475,60148,46,0,-21,0
0.029824,27,54000,-7025,92956,68,0,-27,0
0.029952,8,16000,-7175,-16404,-4,0,-8,1
0.030080,14,28000,-4725,-5468,8,0,-14,0
0.030208,31,62000,-3050,82020,68,0,-31,0
0.030336,-76,-152000,-7675,-486652,-316,0,76,2
0.030464,7,14000,-7875,-21872,-8,0,-7,1
0.030592,-28,-56000,-9550,-207784,-134,0,28,1
0.030720,-4,-8000,-8850,-82020,-49,0,4,1
0.030848,-13,-26000,-8650,-136700,-84,0,13,1
0.030976,42,84000,-9100,169508,119,0,-42,0
0.031104,51,102000,-7700,207784,147,0,-51,0
0.031232,-33,-66000,-8075,-262464,-165,0,33,1
0.031360,-16,-32000,-7925,-164040,-100,0,16,1
0.031488,14,28000,-7275,0,10,0,-14,0
0.031616,17,34000,-5750,10936,19,0,-17,0
0.031744,-6,-12000,-5775,-125764,-71,0,6,1
0.031872,-38,-76000,-8225,-289804,-183,0,38,1
0.032000,5,10000,-12050,-21872,-12,0,-5,1
0.032128,-27,-54000,-14375,-191380,-127,0,27,1
0.032256,-25,-50000,-15350,-174976,-118,0,25,1
0.032384,-33,-66000,-18575,-202316,-141,0,33,1
0.032512,-47,-94000,-20225,-273400,-190,0,47,1
0.032640,15,30000,-20500,71084,39,0,-15,0
0.032768,-10,-20000,-18950,-87488,-62,0,10,1
0.032896,-20,-40000,-19750,-142168,-99,0,20,1
0.033024,-25,-50000,-21125,-169508,-118,0,25,1
0.033152,-61,-122000,-24375,-360888,-248,0,61,1
0.033280,24,48000,-26025,125764,72,0,-24,0
0.033408,38,76000,-25650,191380,118,0,-38,0
0.033536,19,38000,-24125,65616,38,0,-19,0
0.033664,-27,-54000,-25300,-191380,-133,0,27,1
0.033792,-70,-140000,-29825,-404632,-281,0,70,2
0.033920,-21,-42000,-30350,-125764,-97,0,21,1
0.034048,-3,-6000,-31375,-32808,-35,0,3,1
0.034176,13,26000,-31075,43744,18,0,-13,0
0.034304,-11,-22000,-32100,-92956,-72,0,11,1
0.034432,5,10000,-29225,-27340,-23,0,-5,1
0.034560,15,30000,-28975,27340,13,0,-15,0
0.034688,13,26000,-27900,0,-1,0,-13,1
0.034816,-3,-6000,-28425,-82020,-57,0,3,1
0.034944,21,42000,-27625,49212,31,0,-21,0
0.035072,-6,-12000,-28325,-98424,-68,0,6,1
0.035200,-19,-38000,-27750,-180444,-121,0,19,1
0.035328,-9,-18000,-23900,-147636,-93,0,9,1
0.035456,54,108000,-21875,191380,135,0,-54,0
0.035584,-22,-44000,-22925,-235124,-148,0,22,1
0.035712,-6,-12000,-22325,-147636,-89,0,6,1
0.035840,-12,-24000,-25350,-158572,-102,0,12,1
0.035968,12,24000,-25050,-27340,-14,0,-12,1
0.036096,17,34000,-25900,5468,6,0,-17,0
0.036224,-63,-126000,-26625,-442908,-291,0,63,2
0.036352,-8,-16000,-28150,-120296,-81,0,8,1
0.036480,-34,-68000,-29150,-256996,-173,0,34,1
0.036608,15,30000,-29200,16404,8,0,-15,0
0.036736,-54,-108000,-28750,-377292,-251,0,54,1
0.036864,0,0,-29750,-65616,-47,0,0,1
